title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
Mistborn Trilogy Boxed Set,Mistborn,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'Magic', 'High Fantasy', 'Science Fiction', 'Epic', 'Adventure', 'Adult']",2176,November 3rd 2009,2009,4.57,98.0,23.8
Muhammad: His Life Based on the Earliest Sources,standalone,Martin Lings,"['Islam', 'Religion', 'History', 'Biography', 'Nonfiction', 'Spirituality', 'Theology', 'Biography Memoir', 'Philosophy', 'Indonesian Literature']",384,October 6th 2006,2006,4.57,97.0,6.74
Warriors Box Set,Warriors,Erin Hunter,"['Fantasy', 'Childrens', 'Animals', 'Cats', 'Fiction', 'Young Adult', 'Adventure', 'Middle Grade', 'Romance', 'Animal Fiction']",1844,October 9th 2007,2007,4.57,97.0,10.21
The Lord of the Rings: The Art of The Two Towers,The Art of The Lord of the Rings,Gary Russell,"['Fantasy', 'Art', 'Film', 'Reference', 'Media Tie In', 'Fiction', 'Classics']",192,April 15th 2003,2003,4.57,98.0,14.33
"The Green Mile, Part 6: Coffey on the Mile",The Green Mile,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Suspense', 'Supernatural', 'Drama', 'Crime', 'Adult']",144,August 29th 1996,1996,4.57,99.0,1.79
If This Is a Man • The Truce,Auschwitz Trilogy,Primo Levi,"['Nonfiction', 'History', 'Biography', 'Holocaust', 'Classics', 'Memoir', 'War', 'Italian Literature', 'World War II', 'Autobiography']",453,1987,1987,4.57,99.0,3.11
Harry Potter and the Prisoner of Azkaban,Harry Potter,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",435,05/01/04,2004,4.57,99.0,5.94
Revolutionary Mothering: Love on the Front Lines,standalone,Alexis Pauline Gumbs,"['Nonfiction', 'Parenting', 'Feminism', 'Essays', 'Social Justice', 'Race', 'Anti Racist', 'Poetry', 'Activism', 'Anthologies']",272,April 1st 2016,2016,4.57,99.0,15.16
The Last Hope,Warriors: Omen of the Stars,Erin Hunter,"['Fantasy', 'Animals', 'Middle Grade', 'Fiction', 'Cats', 'Childrens', 'Young Adult', 'Adventure', 'Animal Fiction', 'Young Readers']",329,April 3rd 2012,2012,4.57,97.0,12.49
The Mysterious Benedict Society Collection,The Mysterious Benedict Society,Trenton Lee Stewart,"['Mystery', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Adventure', 'Realistic Fiction', 'Science Fiction', 'Kids', 'Humor']",1376,October 12th 2010,2010,4.57,98.0,22.22
The Gods of Women Have Gone Mad,standalone,Wole Akosile,['Fiction'],160,June 11th 2019,2019,4.57,97.0,11.32
"Classics of Indian Spirituality: Includes: The Bhagavad Gita, The Dhammapada, and The Upanishads",standalone,Eknath Easwaran,"['Religion', 'Spirituality', 'Philosophy', 'Nonfiction', 'Buddhism', 'Hinduism', 'History']",0,January 25th 1993,1993,4.57,98.0,9.26
The Book of the Book,standalone,Idries Shah,['Spirituality'],278,December 1st 1976,1976,4.57,98.0,13.69
Kingdom of Ash,Throne of Glass,Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'New Adult', 'Magic', 'Young Adult Fantasy', 'Fiction', 'Fae', 'High Fantasy', 'Paranormal']",984,October 23rd 2018,2018,4.57,97.0,7.92
Disney's Storybook Collection,standalone,Nancy Parent,"['Childrens', 'Picture Books', 'Fantasy', 'Fiction', 'Short Stories', 'Fairy Tales']",320,June 9th 1999,1999,4.57,98.0,1.77
Without a Front: The Warrior’s Challenge,Chronicles of Alsea,Fletcher DeLancey,"['Science Fiction', 'Lesbian', 'LGBT', 'Romance', 'Fantasy', 'Politics', 'Lesbian Romance', 'Lesbian Fiction', 'Space Opera', 'Science Fiction Fantasy']",373,November 15th 2015,2015,4.57,98.0,12.98
Tricksters,Daughter of the Lioness,Tamora Pierce,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Young Adult Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Romance']",590,March 2005,2005,4.57,99.0,5.46
Gunfight At The Old Leake Canal,standalone,G.B. Hope,['Thriller'],270,May 6th 2016,2016,4.57,96.0,13.89
Avatar Volume 5: The Last Airbender,Avatar: The Last Airbender Books,Michael Dante DiMartino,"['Manga', 'Graphic Novels', 'Comics', 'Fantasy', 'Komik', 'Young Adult', 'Anime', 'Graphic Novels Comics', 'Childrens', 'Humor']",90,June 10th 2007,2007,4.57,97.0,5.04
The Gates to Love and War,standalone,Janie Pendleton,"['Classics', 'Military Fiction']",210,April 19th 2008,2008,4.57,96.0,10.64
Beginnings: Obsidian & Onyx,Lux,Jennifer L. Armentrout,"['Young Adult', 'Paranormal', 'Romance', 'Fantasy', 'Aliens', 'Science Fiction', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Urban Fantasy']",801,June 3rd 2014,2014,4.57,98.0,8.20
The Hidden Kingdom,Wings of Fire,Tui T. Sutherland,"['Fantasy', 'Dragons', 'Middle Grade', 'Fiction', 'Adventure', 'Childrens', 'Young Adult', 'Audiobook', 'Animals', 'Juvenile']",336,May 28th 2013,2013,4.57,99.0,6.60
