title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
Why Are You a Vegan? and Other Wacky Verse for Kids,standalone,Violet's Vegan Comics,['Poetry'],116,January 5th 2015,2015,5.0,100.0,81.15
"You, My Love: A Diary in Verse",standalone,Richard Atwood,['Poetry'],116,February 10th 2008,2008,5.0,100.0,8.99
CIRCUS RIDER,standalone,Peter Breschard,['Historical Fiction'],330,December 15th 2010,2010,5.0,100.0,19.59
Bertie's Book of Spooky Wonders,standalone,Ocelot Emerson,"['Middle Grade', 'Fantasy']",244,October 15th 2019,2019,5.0,100.0,14.19
Manhood Of Humanity - The Science And Art Of Human Engineering,standalone,Alfred Korkzybski,['Science'],280,April 4th 2010,2010,5.0,100.0,22.40
100 XIV,standalone,Jerry Seguin,['Art'],104,December 14th 2013,2013,5.0,100.0,23.55
Maze of Existence,Mystic Deja,Tina M. Randolph,['Fantasy'],178,October 10th 2002,2002,5.0,100.0,7.97
The Illustrated Vivian Stanshall: A Fairytale of Grimm Art,standalone,Ki Longfellow,"['Art', 'Biography', 'Memoir']",326,February 5th 2018,2018,4.93,99.0,56.86
Orion: The Fight for Vox,Voxian,Ruth Watson-Morris,['Fantasy'],314,August 11th 2012,2012,4.93,100.0,13.74
A Debt Free You,standalone,Steve Julien,"['Finance', 'Nonfiction']",104,March 1st 2012,2012,4.92,100.0,38.83
Book Too: Because of Grandmother,standalone,Ali Marsman,['Fiction'],204,January 11th 2019,2019,4.9,100.0,21.34
James Tissot: The Life of Christ,standalone,Hudith F. Dolkart,['Art'],304,November 21st 2009,2009,4.89,100.0,305.07
"The Vampire King (The Horn King, #3)",standalone,Brae Wyckoff,['Fantasy'],302,August 5th 2015,2015,4.87,100.0,15.41
More To Life,standalone,Jacob Lasher,['Poetry'],160,January 11th 2019,2019,4.86,100.0,7.33
Maya of the Inbetween,standalone,Sita Bennett,"['Science Fiction', 'Nature', 'Coming Of Age', 'Fiction', 'Environment', 'Epic Fantasy', 'Young Adult', 'Fantasy', 'Climate Change Fiction']",326,June 14th 2020,2020,4.86,97.0,20.61
An A - Z of Looney Limericks (for big kids),standalone,Bernie Morris,['Poetry'],124,January 22nd 2009,2009,4.85,100.0,2.48
Down and Rising,standalone,Rohith S. Katbamna,"['Post Apocalyptic', 'Literary Fiction', 'Dystopia']",676,January 12th 2019,2019,4.85,99.0,14.71
"Stir, Laugh, Repeat: Finding Joy While Playing in the Kitchen",standalone,Martha A. Cheves,"['Cookbooks', 'Nonfiction']",154,June 10th 2008,2008,4.84,100.0,12.19
We Animals,standalone,Jo-Anne McArthur,"['Nonfiction', 'Photography', 'Animals', 'Vegan', 'Activism', 'Art', 'Nature']",202,December 15th 2013,2013,4.83,99.0,39.55
The Complete Calvin and Hobbes,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comedy', 'Classics', 'Graphic Novels Comics', 'Comic Strips', 'Childrens', 'Comic Book']",1456,09/06/05,2005,4.82,99.0,110.67
The Explorer's Mindset: Unlock Health Happiness and Success the Fun Way,standalone,Francis Shenstone,"['Self Help', 'Philosophy']",208,January 23rd 2019,2019,4.81,100.0,18.56
Fractured Heart,standalone,Aimee Lewis,"['Poetry', 'LGBT']",119,February 20th 2012,2012,4.8,100.0,10.77
Between the Tides: Ebbs of poetry from a stream of thought,standalone,J.D. Estrada,['Poetry'],60,May 10th 2014,2014,4.8,100.0,9.64
"The Way of Kings, Part 2",The Stormlight Archive,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'Novels', 'War']",530,2011,2011,4.79,100.0,3.30
She Shall Be Called Woman: Victoria Botkin's Study of Practical Wisdom From Scripture for the 21st Century Woman,standalone,Victoria Botkin,['Christianity'],212,2011,2011,4.79,100.0,4.19
The First Folio of Shakespeare: 1623,standalone,William Shakespeare,"['Drama', 'Classics', 'Literature', 'Poetry', 'Fiction']",896,December 1st 1995,1995,4.79,99.0,217.90
America on the Couch: Psychological Perspectives on American Politics and Culture,standalone,Pythia Peay,['Nonfiction'],616,April 14th 2015,2015,4.78,100.0,31.78
Myofascial Pain and Dysfunction: The Trigger Point Manual: Volume 2: The Lower Extremities,standalone,Janet G. Travell,"['Medical', 'Reference', 'Health']",628,October 9th 1992,1992,4.78,100.0,56.66
Know Your Real Self: A journey towards inner peace and freedom,standalone,Rachna Khemchandani,['Spirituality'],198,November 30th 2016,2016,4.78,97.0,11.97
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",standalone,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Supernatural', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Witches']",2690,September 13th 2004,2004,4.78,98.0,31.02
Awakening Inner Guru,standalone,Banani Ray,"['Spirituality', 'Inspirational', 'Self Help', 'Nonfiction']",232,June 9th 2010,2010,4.78,100.0,6.21
Easy Money Management: A Give and Save 3-6-5 Approach to Personal Finance,standalone,Laurick Ingram,['Finance'],64,November 30th 2018,2018,4.78,98.0,9.22
ESV Study Bible,standalone,Anonymous,"['Christian', 'Theology', 'Reference', 'Christianity', 'Nonfiction', 'Religion', 'Classics', 'History', 'Christian Living', 'Faith']",2750,October 15th 2008,2008,4.78,98.0,32.58
Mark of the Lion Trilogy,Mark of the Lion,Francine Rivers,"['Christian Fiction', 'Christian', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Christianity', 'Christian Historical Fiction', 'Biblical Fiction', 'Religion']",1468,September 1st 1998,1998,4.77,99.0,25.25
The Goddesses: Portraits by Madame Yevonde,standalone,Lawrence Hole,"['Photography', 'Art']",80,March 1st 2001,2001,4.77,100.0,18.88
Krazy Kat: A Celebration of Sundays,standalone,George Herriman,"['Comics', 'Graphic Novels Comics', 'Graphic Novels', 'Humor']",160,June 1st 2010,2010,4.77,100.0,184.95
"Fighting Out of New Milford, USA",Zombie,G.B. Hope,"['Horror', 'Zombies']",280,February 9th 2013,2013,4.77,98.0,10.52
Need a House? Call Ms. Mouse,standalone,George Mendoza,"['Childrens', 'Picture Books', 'Fiction', 'Architecture']",40,August 1st 1981,1981,4.77,99.0,224.74
"I Can Cook ""Light Lunches""",standalone,Marika Germanis,['Cooking'],34,July 3rd 2014,2014,4.76,94.0,11.84
The Sandman Volumes 1-10,standalone,Neil Gaiman,"['Graphic Novels', 'Fantasy', 'Comics', 'Fiction', 'Horror', 'Sequential Art', 'Comic Book', 'Graphic Novels Comics', 'Mythology']",2050,November 13th 2012,2012,4.76,99.0,453.37
The Macarthur Study Bible: New American Standard Bible,standalone,Anonymous,"['Christian', 'Reference', 'Nonfiction', 'Christianity', 'Theology', 'Religion', 'Scripture', 'Christian Living']",2043,March 1st 2006,2006,4.76,98.0,13.90
It's a Magical World,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Book', 'Comedy', 'Comic Strips', 'Graphic Novels Comics', 'Childrens', 'Cartoon']",176,September 1st 1996,1996,4.76,100.0,4.40
Meditation: Insights and Inspirations,standalone,Amit Ray,"['Spirituality', 'Inspirational', 'Self Help', 'Nonfiction']",146,April 21st 2015,2015,4.76,96.0,16.54
Save Us a Seat,standalone,Fletcher McHale,"['Fiction', 'Chick Lit']",204,September 16th 2013,2013,4.76,97.0,67.70
Playing With Fire,Power of Four,S.F. Mazhar,"['Fantasy', 'Young Adult']",434,February 26th 2015,2015,4.75,99.0,17.89
"The Sun, the Moon, the Stars and Maya: A Collection of Little Sayings about Enormous Things.",standalone,Rich Okun,['Nonfiction'],64,June 14th 2013,2013,4.75,95.0,14.90
The Warden and the Wolf King,The Wingfeather Saga,Andrew Peterson,"['Fantasy', 'Fiction', 'Christian', 'Young Adult', 'Christian Fiction', 'Middle Grade', 'Audiobook', 'Childrens', 'Adventure', 'Christian Fantasy']",519,July 27th 2014,2014,4.75,99.0,47.16
Words of Radiance,The Stormlight Archive,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'Epic', 'Adult', 'Adventure']",1087,03/04/14,2014,4.75,99.0,15.0
The Last Gold of Expired Stars: Complete Poems 1908 - 1914,standalone,Georg Trakl,"['Poetry', 'German Literature']",530,February 27th 2011,2011,4.75,100.0,10.12
There's Treasure Everywhere,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Comic Book', 'Comic Strips', 'Comedy', 'Graphic Novels Comics', 'Childrens', 'Cartoon']",176,March 1st 1996,1996,4.75,99.0,4.18
The Indispensable Calvin and Hobbes,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Childrens', 'Comedy', 'Graphic Novels Comics', 'Comic Book', 'Comic Strips', 'Cartoon']",255,1992,1992,4.74,100.0,1.44
"Where Eagles Lie Fallen: The Crash of Arrow Air Flight 1285, Gander, Newfoundland",standalone,Gary Collins,['History'],227,November 17th 2010,2010,4.74,100.0,17.30
A Shadow Falls,Nick Brandt Trilogy,Nick Brandt,"['Photography', 'Art', 'Nonfiction', 'Animals', 'Nature', 'Art and Photography', 'Africa']",132,September 1st 2009,2009,4.74,97.0,49.85
Journey to the Ice Age: Mammoths and Other Animals of the Wild,standalone,Rien Poortvliet,"['Art', 'Nonfiction', 'Historical', 'Nature', 'Animals']",224,September 1st 1994,1994,4.74,100.0,8.74
The War on Women,standalone,Sue Lloyd-Roberts,"['Nonfiction', 'Feminism', 'Politics', 'Womens', 'History', 'Historical', 'Gender', 'Crime', 'Essays', 'International']",308,August 11th 2016,2016,4.74,100.0,10.81
"NIV Study Bible, Personal Size",standalone,Anonymous,"['Reference', 'Religion', 'Nonfiction', 'Christian', 'Christianity', 'Spirituality', 'Faith', 'Theology']",2560,October 5th 2011,2011,4.74,98.0,24.15
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Graphic Novels Comics', 'Childrens', 'Comic Strips', 'Comedy', 'Comic Book', 'Classics']",254,October 17th 1990,1990,4.74,100.0,4.72
Redemption CD Collection: Redemption / Remember / Return / Rejoice / Reunion,Redemption,Karen Kingsbury,"['Christian Fiction', 'Christian', 'Fiction', 'Romance']",0,March 29th 2008,2008,4.73,99.0,16.66
Harry Potter Series Box Set,Harry Potter,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Middle Grade', 'Novels']",4100,10/01/07,2007,4.73,98.0,77.25
A Court of Thorns and Roses Coloring Book,A Court of Thorns and Roses,Sarah J. Maas,"['New Adult', 'Colouring Books', 'Fantasy', 'Fiction', 'Young Adult', 'Adult', 'Paranormal', 'High Fantasy', 'Art', 'Fantasy Romance']",96,May 2nd 2017,2017,4.73,98.0,131.65
Dust Fairy Tales: Absolutely Aggie,standalone,Michelle R. Eastman,['Childrens'],48,September 8th 2015,2015,4.73,97.0,6.97
The White Rose Resists: A Novel of the German Students Who Defied Hitler,standalone,Amanda Barratt,"['Historical Fiction', 'Christian Fiction', 'Historical', 'Fiction', 'World War II', 'Romance', 'Holocaust', 'Inspirational', 'War', 'Christian']",336,May 26th 2020,2020,4.73,99.0,11.95
"Scientific Progress Goes ""Boink""",Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Book', 'Graphic Novels Comics', 'Comedy', 'Comic Strips', 'Childrens', 'Cartoon']",128,1991,1991,4.73,100.0,1.80
"The Sandman Omnibus, Vol. 2",The Sandman Omnibus,Neil Gaiman,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Horror', 'Comic Book', 'Graphic Novels Comics', 'Mythology', 'Dc Comics', 'Urban Fantasy']",1040,November 12th 2013,2013,4.73,99.0,85.22
K - I - L - L FM 100: Music to Die For,standalone,Teric Darken,['Christian Fiction'],110,July 12th 2010,2010,4.73,100.0,25.56
The Unwanteds Complete Collection,Unwanteds,Lisa McMann,"['Fantasy', 'Childrens']",3312,May 10th 2016,2016,4.73,98.0,71.13
Harry Potter Collection,Harry Potter,J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adventure', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Witches', 'Wizards']",3342,September 12th 2005,2005,4.73,98.0,35.11
The Oxford English Dictionary (20 Volume Set),standalone,John Andrew Simpson,"['Reference', 'Language', 'Nonfiction', 'Dictionaries', 'Writing', 'History', 'Linguistics']",2000,March 30th 1989,1989,4.72,96.0,653.73
Selections from Harry Potter and the Order of the Phoenix: Piano Solos,standalone,John Williams,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Mythology', 'Adventure', 'Fiction']",37,July 1st 2007,2007,4.72,98.0,16.24
The Numerical Discourses of the Buddha: A Translation of the Anguttara Nikaya,standalone,Bhikkhu Bodhi,"['Buddhism', 'Religion', 'Philosophy', 'Spirituality', 'Nonfiction']",1944,October 16th 2012,2012,4.72,97.0,39.67
Verse for Ages,standalone,Colleen Thatcher,['Poetry'],254,February 2nd 2011,2011,4.72,96.0,1.14
The Revenge of the Baby-Sat,Calvin and Hobbes,Bill Watterson,"['Humor', 'Comics', 'Graphic Novels', 'Fiction', 'Graphic Novels Comics', 'Comic Strips', 'Comic Book', 'Comedy', 'Childrens', 'Cartoon']",128,1991,1991,4.72,100.0,15.94
Children's Songbook,standalone,The Church of Jesus Christ of Latter-day Saints,"['Religion', 'Lds', 'Music', 'Church', 'Nonfiction', 'Childrens', 'Inspirational', 'Poetry', 'Reference', 'Spirituality']",314,2011,2011,4.72,98.0,1.59
City Lights,Southern Roots,Julie Morgan,['Contemporary Romance'],348,October 21st 2014,2014,4.72,97.0,15.53
The Overlook Film Encyclopedia: Horror,standalone,Phil Hardy,"['Film', 'Nonfiction', 'Horror', 'Reference']",496,October 1st 1995,1995,4.72,97.0,26.01
Attack of the Deranged Mutant Killer Monster Snow Goons,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Book', 'Comic Strips', 'Graphic Novels Comics', 'Comedy', 'Childrens', 'Cartoon']",127,January 7th 1992,1992,4.72,100.0,22.31
Homicidal Psycho Jungle Cat,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Graphic Novels Comics', 'Comic Strips', 'Comic Book', 'Childrens', 'Comedy', 'Cartoon']",176,September 6th 1994,1994,4.72,100.0,2.29
The Mind,standalone,John Fitzgerald,['Poetry'],126,2011,2011,4.71,100.0,10.16
"The Absolute Sandman, Volume Three",The Absolute Sandman,Neil Gaiman,"['Comics', 'Graphic Novels', 'Fantasy', 'Fiction', 'Horror', 'Graphic Novels Comics', 'Comic Book', 'Mythology', 'Urban Fantasy', 'Dc Comics']",616,June 17th 2008,2008,4.71,99.0,82.3
"Onyx Webb: Book Five: Episodes 13, 14, 15",Onyx Webb,Richard Fenton,"['Horror', 'Paranormal', 'Suspense', 'Thriller', 'Romance', 'Fiction', 'Supernatural', 'Historical']",234,April 27th 2016,2016,4.71,100.0,22.82
The Girl in the Haystack,standalone,Bryon MacWilliams,"['Holocaust', 'Survival']",80,March 20th 2019,2019,4.71,100.0,7.45
Yukon Ho!,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Strips', 'Comic Book', 'Comedy', 'Graphic Novels Comics', 'Childrens', 'Cartoon']",126,March 1989,1989,4.71,100.0,3.17
Nineteen Cuts,standalone,Ringo Gene Hayden,['Fiction'],414,May 11th 2016,2016,4.71,100.0,27.26
The Motorbike Book : The Definitive Visual History,standalone,Phil Hunt,['Nonfiction'],320,2015,2015,4.71,100.0,4.24
Weirdos from Another Planet!,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Comic Strips', 'Comic Book', 'Comedy', 'Graphic Novels Comics', 'Childrens', 'Cartoon']",128,1990,1990,4.71,100.0,1.88
Something Under the Bed is Drooling,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Strips', 'Graphic Novels Comics', 'Comedy', 'Comic Book', 'Childrens', 'Cartoon']",128,1988,1988,4.71,99.0,70.13
Louder Than a Whisper: Clearer Than a Bell,standalone,Renée Paule,"['Nonfiction', 'Self Help', 'Inspirational', 'Philosophy']",174,September 21st 2015,2015,4.71,100.0,17.78
Seven Wonders Of The World,standalone,Anna Othitis,"['Travel', 'Childrens', 'Adventure', 'Aeroplanes']",30,June 7th 2014,2014,4.71,95.0,2.58
Mastering Manga 3: Power Up with Mark Crilley,Mastering Manga,Mark Crilley,"['Manga', 'Art']",128,August 29th 2016,2016,4.7,100.0,12.19
The Lunar Chronicles Box Set,The Lunar Chronicles,Marissa Meyer,"['Fantasy', 'Science Fiction', 'Young Adult', 'Fiction', 'Dystopia', 'Mystery', 'Fairy Tales', 'Romance', 'Young Adult Fantasy']",2977,November 10th 2015,2015,4.7,99.0,171.10
If I Should Die Before My Dog—,standalone,Joe Connolly,"['Animals', 'Nonfiction', 'Dogs']",108,July 30th 2012,2012,4.7,98.0,6.26
The Complete Aubrey/Maturin Novels (5 Volumes),standalone,Patrick O'Brian,"['Historical Fiction', 'Fiction', 'Literature', 'Historical', 'Adventure', 'Maritime', 'Classics']",6576,October 17th 2004,2004,4.7,98.0,149.99
The Days Are Just Packed,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Graphic Novels Comics', 'Comic Strips', 'Childrens', 'Comedy', 'Comic Book', 'Cartoon']",176,September 1st 1993,1993,4.7,99.0,2.51
"The MacArthur Daily Bible: Read through the Bible in one year, with notes from John MacArthur",standalone,Anonymous,"['Christian', 'Reference', 'Christianity', 'Biblical', 'Religion', 'Theology', 'Christian Non Fiction', 'Christian Living', 'Faith', 'Nonfiction']",1344,October 29th 2003,2003,4.7,98.0,11.92
Death Sets Sail,Murder Most Unladylike Mystery,Robin Stevens,"['Mystery', 'Middle Grade', 'Historical Fiction', 'Historical', 'Crime', 'Young Adult', 'Fiction', 'LGBT', 'Mystery Thriller', 'Childrens']",400,August 6th 2020,2020,4.7,99.0,8.32
Checkmate,The Lymond Chronicles,Dorothy Dunnett,"['Historical Fiction', 'Historical', 'Fiction', 'Scotland', 'Romance', 'Adventure', '16th Century', 'France', 'Literature', 'Historical Romance']",581,September 2nd 1997,1997,4.7,99.0,5.24
Twilight & Sunset,Warriors: The New Prophecy,Erin Hunter,['Cats'],622,2007,2007,4.7,99.0,5.56
Shy Green Fields,standalone,Hugh Behm-Steinberg,['Poetry'],116,September 26th 2007,2007,4.7,100.0,13.10
The Seven Natural Wonders Of The EARTH (My First Travel Books #2),standalone,Anna Othitis,"['Childrens', 'Adventure', 'Inspirational', 'Family', 'Education']",23,April 16th 2014,2014,4.7,97.0,10.27
Study Bible: NIV,standalone,Anonymous,"['Christian', 'Religion', 'Christianity', 'Nonfiction', 'Reference', 'Spirituality', 'Faith', 'Classics', 'Theology', 'Christian Non Fiction']",2198,October 1st 2002,2002,4.7,97.0,5.97
"Shobu Samurai, Project Aryoku (#3)",standalone,Shinry,['Fantasy'],412,December 18th 2015,2015,4.7,96.0,24.51
The Seven Valleys and the Four Valleys,standalone,Bahá'u'lláh,"['Religion', 'Baha I', 'Spirituality', 'Nonfiction']",103,January 1st 1945,1945,4.7,97.0,27.26
A Perfumed Scorpion,standalone,Idries Shah,"['Islam', 'Religion', 'Esoterica']",193,January 1st 2001,2001,4.7,98.0,2.59
The Jeshua Channelings: Christ Consciousness in a New Era,standalone,Pamela Kribbe,['Spirituality'],264,November 20th 2008,2008,4.7,97.0,19.89
Letter from the Birmingham Jail,standalone,Martin Luther King Jr.,"['Nonfiction', 'History', 'Politics', 'Classics', 'Essays', 'Philosophy', 'Race', 'Social Justice', 'African American', 'Audiobook']",35,August 1st 1994,1994,4.7,99.0,86.94
The Unwanteds Box Set,Unwanteds,Lisa McMann,['Fantasy'],1280,September 3rd 2013,2013,4.69,98.0,176.08
Nausicaä of the Valley of Wind: Perfect Collection Boxed Set,Nausicaä of the Valley of Wind (Perfect),Hayao Miyazaki,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Post Apocalyptic', 'Japan', 'Steampunk']",1063,January 1st 2001,2001,4.69,100.0,86.54
"The Absolute Sandman, Volume Two",The Absolute Sandman,Neil Gaiman,"['Comics', 'Graphic Novels', 'Fantasy', 'Fiction', 'Horror', 'Graphic Novels Comics', 'Comic Book', 'Mythology', 'Urban Fantasy', 'Science Fiction Fantasy']",616,October 31st 2007,2007,4.69,99.0,75.92
Where it all Began,Blue Moon,Lucy Score,"['Romance', 'Contemporary Romance', 'Contemporary', 'Novella', 'Fiction', 'Humor']",288,June 23rd 2017,2017,4.69,99.0,19.11
"A Veiled Gazelle: ""Seeing How to See""",standalone,Idries Shah,['Islam'],103,December 1st 1977,1977,4.69,97.0,6.00
"One Piece Box Set 3: Thriller Bark to New World, Volumes 47-70 with Premium: Thriller Bark to New World, Volumes 47-70",standalone,Eiichiro Oda,"['Manga', 'Comics', 'Fantasy']",5056,October 4th 2016,2016,4.69,100.0,142.85
"The Absolute Sandman, Volume Four",The Absolute Sandman,Neil Gaiman,"['Comics', 'Graphic Novels', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Horror', 'Comic Book', 'Mythology', 'Comix', 'Urban Fantasy']",608,November 11th 2008,2008,4.69,98.0,91.80
Henri Cartier-Bresson: Photographer,standalone,Henri Cartier-Bresson,"['Photography', 'Art and Photography', 'Art']",338,October 21st 1992,1992,4.69,99.0,60.00
Gravity Falls: Journal 3,standalone,Alex Hirsch,"['Fantasy', 'Mystery', 'Fiction', 'Graphic Novels', 'Middle Grade', 'Science Fiction', 'Childrens', 'Humor', 'Comics', 'Horror']",288,July 26th 2016,2016,4.69,98.0,8.65
Timber Ridge Reflections,Timber Ridge Reflections,Tamera Alexander,['Historical Fiction'],1152,November 1st 2010,2010,4.69,100.0,22.87
The Brimstone Forest,The Adventures of Cecilia Spark,Ngaire Elder,['Childrens'],48,August 23rd 2012,2012,4.69,100.0,6.86
One Piece Box Set 2: Skypeia and Water Seven: Volumes 24-46 with Premium,standalone,Eiichiro Oda,"['Manga', 'Comics', 'Fantasy']",4936,November 4th 2014,2014,4.69,99.0,99.96
Dark Lover & Lover Eternal,Black Dagger Brotherhood,J.R. Ward,"['Paranormal', 'Romance', 'Vampires', 'Paranormal Romance', 'Fantasy', 'Contemporary', 'Erotic Paranormal Romance', 'Erotica', 'Contemporary Romance', 'Adult']",756,2006,2006,4.69,99.0,186.32
The Harry Potter Collection 1-4,Harry Potter,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Childrens', 'Classics', 'Novels', 'Science Fiction Fantasy', 'Urban Fantasy']",1500,November 1st 1999,1999,4.68,98.0,17.05
Veritas The Pharmacological Endgame,standalone,Alessandro Boccaletti,['Fiction'],478,September 4th 2016,2016,4.68,98.0,10.83
Immortal Fire,Red Winter Trilogy,Annette Marie,"['Fantasy', 'Romance', 'Young Adult', 'Mythology', 'Urban Fantasy', 'Magic', 'Paranormal', 'Young Adult Fantasy', 'Fantasy Romance', 'Asian Literature']",384,April 11th 2017,2017,4.68,99.0,16.98
The Woman in the Woods: Linked Stories,standalone,Ann Joslin Williams,['Short Stories'],203,January 1st 2007,2007,4.68,100.0,19.18
"Onyx Webb: Book Four: Episodes 10, 11, 12",Onyx Webb,Richard Fenton,"['Horror', 'Paranormal', 'Suspense', 'Romance', 'Fantasy', 'Thriller', 'Mystery', 'Fiction', 'Supernatural', 'Historical']",249,January 25th 2016,2016,4.68,99.0,22.82
The Dragon God,The Horn King,Brae Wyckoff,"['Fantasy', 'Dragons']",278,December 20th 2013,2013,4.68,100.0,15.63
"One Piece Box Set: East Blue and Baroque Works, Volumes 1-23 (One Piece, #1-23)",standalone,Eiichiro Oda,"['Manga', 'Comics', 'Fantasy']",4720,November 5th 2013,2013,4.68,98.0,502.22
Warriors Boxed Set,Warriors,Erin Hunter,"['Fantasy', 'Cats', 'Animals', 'Middle Grade', 'Young Adult', 'Childrens', 'Adventure']",1056,September 26th 2006,2006,4.68,98.0,11.58
"Holy Bible: Reformation Study Bible, ESV",standalone,Anonymous,"['Theology', 'Christian', 'Religion', 'Christianity', 'Reference', 'Nonfiction', 'Scripture', 'History', 'Faith', 'Classics']",1948,February 16th 2005,2005,4.68,98.0,34.36
Life Application Study Bible: NIV,standalone,Anonymous,"['Christian', 'Religion', 'Nonfiction', 'Christianity', 'Reference', 'Spirituality', 'Faith', 'Christian Non Fiction', 'Classics', 'History']",2400,March 18th 1997,1997,4.68,97.0,6.09
Sufi Thought and Action,standalone,Idries Shah,"['Religion', 'Islam']",272,December 1st 1990,1990,4.68,99.0,3.92
"The Complete Far Side, 1980–1994",standalone,Gary Larson,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Comedy', 'Comic Strips', 'Graphic Novels Comics', 'Art', 'Comic Book', 'Cartoon']",1272,September 1st 2003,2003,4.68,99.0,81.07
The Sibley Guide to Birds,standalone,David Allen Sibley,"['Reference', 'Birds', 'Nature', 'Nonfiction', 'Science', 'Field Guides', 'Animals', 'Ornithology', 'Biology', 'Outdoors']",544,October 3rd 2000,2000,4.67,99.0,7.35
The Battlefield Where the Moon Says I Love You,standalone,Frank Stanford,"['Poetry', 'Literature', '20th Century', 'The United States Of America', 'Epic', 'Unfinished', 'Poetry Plays']",383,June 1st 2000,2000,4.67,98.0,35.56
Make Haste My Beloved,standalone,Frances J. Roberts,['Christian'],96,February 1st 1985,1985,4.67,98.0,4.40
The Kitáb-i-Íqán: The Book of Certitude,standalone,Bahá'u'lláh,"['Baha I', 'Religion', 'Nonfiction', 'Spirituality', 'Philosophy', 'Inspirational', 'Scripture', 'Epic']",283,June 1st 2003,2003,4.67,96.0,6.24
Let Me Hold You Longer,standalone,Karen Kingsbury,"['Picture Books', 'Childrens', 'Christian Fiction', 'Christian', 'Family', 'Parenting', 'Fiction', 'Love', 'Poetry']",32,September 1st 2004,2004,4.67,98.0,6.28
The Admiral's Wolf Pack,standalone,Jean Noli,['History'],396,June 1st 1974,1974,4.67,100.0,5.97
Quest Study Bible: NIV,standalone,Anonymous,"['Christian', 'Religion', 'Christianity', 'Nonfiction', 'Faith', 'Reference', 'Christian Non Fiction']",1984,2003,2003,4.67,98.0,6.43
The Life and Times of Scrooge McDuck,The Life and Times of Scrooge McDuck,Don Rosa,"['Comics', 'Graphic Novels', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Adventure', 'Humor', 'Classics', 'Childrens', 'Historical Fiction']",266,June 1st 2005,2005,4.67,99.0,85.65
The Way of Nacor,Tales of Eden,Jeff W. Horton,['Science Fiction'],261,August 26th 2012,2012,4.67,100.0,14.41
Knowing How to Know: A Practical Philosophy in the Sufi Tradition,standalone,Idries Shah,"['Philosophy', 'Spirituality', 'Nonfiction', 'Islam']",356,March 1st 2000,2000,4.67,97.0,8.62
The Calvin and Hobbes Lazy Sunday Book,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Strips', 'Comic Book', 'Childrens', 'Graphic Novels Comics', 'Comedy', 'Cartoon']",128,1989,1989,4.67,99.0,3.71
